654!Vukov spomenik!44.8048058!20.4795731!1
585!Tehnicki fakulteti!44.8052762!20.4762238!1
583!Pravni fakultet!44.8069763!20.4722237!1
190!Park `Tasmajdan"!44.8089377!20.4688885!1
535!Glavna posta!44.8100257!20.4671065!1
704!Pionirski park!44.812148!20.4640358!1
359!Zeleni venac!44.8145445!20.4568568!1
361!Brankov most!44.8152343!20.4520847!1
118!Blok 21!44.8137528!20.4334929!1
301!Milentija Popovica!44.8128851!20.4290423!1
844!Blok 25!44.8128615!20.423643!1
1106!Blok 24!44.809802!20.4208471!1
1104!Milutina Milankovica!44.8088098!20.4188042!1
2202!Depo Sava!44.8067726!20.4109665!1
2843!Naselje Belvil!44.807118!20.407312!1
